名前,生年,出生,鯖江うまれ,関係園_原表記,関係園_推定正式名,slug,pref,国内外,方向,関係,要確認,層,層の理由,原文
ピースケ,2020,鯖江市西山動物園,1,大島公園,東京都立大島公園動物園,oshima,東京都,JP,所在(明示なし),,0,確定,名前+生年が 教師と 一致,ピースケ / ２０２０うまれ / 鯖江うまれ / 大島公園
カイト,2022,鯖江市西山動物園,1,インドネシア,インドネシア,indonesia,,OV,所在(明示なし),,0,除外,教師では 多摩動物公園 経由。「インドネシア」と 矛盾,鯖江うまれ / カイト / 2022うまれ / インドネシア
かえで,2022,鯖江市西山動物園,1,石川,いしかわ動物園,ishikawa,石川県,JP,転出,貸出,0,確定,名前+生年が 教師と 一致,鯖江うまれ / かえで / 2022うまれ / ( / 石川へ貸出
テマリ,2019,,0,姫セン,姫路セントラルパーク,himecen,兵庫県,JP,所在(明示なし),,0,参考,家系図にしか ない,姫セン / 2019うまれ / テマリ
ハナビ,2011,,0,さいたま,埼玉県こども動物自然公園,saitama,埼玉県,JP,所在(明示なし),,1,除外,園名の 推定が 誤り。教師で 裏が 取れない,2011うまれ / さいたま / ハナビ
セイ,2019,,0,ソウル,ソウル（韓国）,seoul,,OV,所在(明示なし),,0,参考,家系図にしか ない,ソウル / セイ / 2019うまれ
リュウ,2019,,0,東北サファリ,東北サファリパーク,tohoku-safari,福島県,JP,所在(明示なし),,0,参考,家系図にしか ない,リュウ / 2019うまれ / 東北サファリ
チイタ,2008,,0,浜松,浜松市動物園,hamamatsu,静岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,チイタ / 2008うまれ / 浜松
アラタ,2019,,0,浜松,浜松市動物園,hamamatsu,静岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,アラタ / 2019うまれ / 浜松
ミライ,2019,,0,台北,台北（台湾）,taipei,,OV,所在(明示なし),,0,参考,家系図にしか ない,ミライ / 2019うまれ / 台北
令明,2019,,0,福知山,福知山市動物園,fukuchiyama,京都府,JP,所在(明示なし),,0,参考,家系図にしか ない,令明 / 2019うまれ / 福知山
ミルク,2018,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,長野 / ミルク / 2018うまれ
あんこ,2021,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,あんこ / 2021うまれ / 長野
きなこ,2021,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,きなこ / 2021うまれ / 長野
リム,2021,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,リム / 2021うまれ / 釧路
レラ,2021,,0,釧路,釧路市動物園,kushiro,北海道,JP,所在(明示なし),,0,参考,家系図にしか ない,レラ / 2021うまれ / 釧路
アル,2013,,0,羽村,羽村市動物公園,hamura,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,アル / 2013うまれ / 羽村
たけのこ,2024,,0,羽村,羽村市動物公園,hamura,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,羽村 / たけのこ / 2024うまれ
サクユリ,2021,,0,江戸川,江戸川区自然動物園,edogawa,東京都,JP,所在(明示なし),,0,参考,家系図にしか ない,サクユリ / 2021うまれ / 江戸川
イチ丸,2009,,0,市川,市川市動植物園,ichikawa,千葉県,JP,所在(明示なし),,0,参考,家系図にしか ない,市川 / ２００９うまれ / イチ丸
ハルマキ,2016,,0,福岡,福岡市動物園,fukuoka,福岡県,JP,所在(明示なし),,0,参考,家系図にしか ない,ハルマキ / 2016うまれ / 福岡
カイ,2008,,0,のいち,高知県立のいち動物公園,noichi,高知県,JP,所在(明示なし),,0,参考,家系図にしか ない,カイ / ２００８うまれ / のいち
マロンＳ,2017,,0,群馬,群馬サファリパーク,gunma,群馬県,JP,所在(明示なし),,1,参考,家系図にしか ない,マロンＳ / ２０１７うまれ / 群馬
ミルク,2018,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,ミルク / 2018うまれ / 長野
ミロ,2025,,0,長野,長野市茶臼山動物園,nagano,長野県,JP,所在(明示なし),,0,参考,家系図にしか ない,ミロ / 2025うまれ / 長野
アケビ,2020,,0,仙台,仙台市八木山動物公園フジサキの杜,sendai,宮城県,JP,転入,借受,0,確定,名前+生年が 教師と 一致,借受 / アケビ / 2020年うまれ / 仙台から
